treatment_group,variable,n_total,missing_n,missing_pct,complete_n,complete_pct
Overall,age,929,0,0.0,929,1.0
Overall,sex,929,0,0.0,929,1.0
Overall,obstruct,929,0,0.0,929,1.0
Overall,perfor,929,0,0.0,929,1.0
Overall,adhere,929,0,0.0,929,1.0
Overall,nodes,929,18,0.0193756727664155,911,0.9806243272335845
Overall,differ,929,23,0.024757804090419805,906,0.9752421959095802
Overall,extent,929,0,0.0,929,1.0
Overall,surg,929,0,0.0,929,1.0
Overall,node4,929,0,0.0,929,1.0
Lev+5FU,age,304,0,0.0,304,1.0
Lev+5FU,sex,304,0,0.0,304,1.0
Lev+5FU,obstruct,304,0,0.0,304,1.0
Lev+5FU,perfor,304,0,0.0,304,1.0
Lev+5FU,adhere,304,0,0.0,304,1.0
Lev+5FU,nodes,304,9,0.029605263157894735,295,0.9703947368421053
Lev+5FU,differ,304,6,0.019736842105263157,298,0.9802631578947368
Lev+5FU,extent,304,0,0.0,304,1.0
Lev+5FU,surg,304,0,0.0,304,1.0
Lev+5FU,node4,304,0,0.0,304,1.0
Obs,age,315,0,0.0,315,1.0
Obs,sex,315,0,0.0,315,1.0
Obs,obstruct,315,0,0.0,315,1.0
Obs,perfor,315,0,0.0,315,1.0
Obs,adhere,315,0,0.0,315,1.0
Obs,nodes,315,3,0.009523809523809525,312,0.9904761904761905
Obs,differ,315,7,0.022222222222222223,308,0.9777777777777777
Obs,extent,315,0,0.0,315,1.0
Obs,surg,315,0,0.0,315,1.0
Obs,node4,315,0,0.0,315,1.0
Lev,age,310,0,0.0,310,1.0
Lev,sex,310,0,0.0,310,1.0
Lev,obstruct,310,0,0.0,310,1.0
Lev,perfor,310,0,0.0,310,1.0
Lev,adhere,310,0,0.0,310,1.0
Lev,nodes,310,6,0.01935483870967742,304,0.9806451612903225
Lev,differ,310,10,0.03225806451612903,300,0.967741935483871
Lev,extent,310,0,0.0,310,1.0
Lev,surg,310,0,0.0,310,1.0
Lev,node4,310,0,0.0,310,1.0
