endpoint,treatment_group,time_days,survival_probability,ci_lower,ci_upper,n_risk,n_events_at_time
Recurrence-Free Survival,Obs,0,1.0,1.0,1.0,315,0
Recurrence-Free Survival,Obs,20,0.9968253968253968,0.977679458561107,0.9995522197642882,315,1
Recurrence-Free Survival,Obs,36,0.9936507936507937,0.9748530343662286,0.9984083282859764,314,1
Recurrence-Free Survival,Obs,43,0.9904761904761904,0.9707643860596465,0.9969184822470637,313,1
Recurrence-Free Survival,Obs,45,0.9873015873015872,0.9665219695819577,0.9952151428129948,312,1
Recurrence-Free Survival,Obs,59,0.9841269841269842,0.9622872405133703,0.993362508553066,311,1
Recurrence-Free Survival,Obs,72,0.980952380952381,0.9580954760321456,0.9913975531564332,310,1
Recurrence-Free Survival,Obs,77,0.9777777777777779,0.9539532845988729,0.9893439226707729,309,1
Recurrence-Free Survival,Obs,79,0.9746031746031747,0.9498593339570746,0.9872178467298348,308,1
Recurrence-Free Survival,Obs,80,0.9682539682539684,0.9418016161552055,0.9827923280015413,307,2
Recurrence-Free Survival,Obs,85,0.9650793650793652,0.9378301876645571,0.9805084984288069,305,1
Recurrence-Free Survival,Obs,86,0.961904761904762,0.9338924424283621,0.9781849621450788,304,1
Recurrence-Free Survival,Obs,88,0.9587301587301588,0.9299854161982305,0.9758260918122047,303,1
Recurrence-Free Survival,Obs,94,0.9555555555555556,0.9261065120681393,0.9734354868099441,302,1
Recurrence-Free Survival,Obs,98,0.9523809523809524,0.9222534571364104,0.9710161530019821,301,1
Recurrence-Free Survival,Obs,99,0.946031746031746,0.9146171611250352,0.966101096073223,300,2
Recurrence-Free Survival,Obs,101,0.9428571428571428,0.9108306163561064,0.9636094198241071,298,1
Recurrence-Free Survival,Obs,102,0.9396825396825397,0.9070632486861872,0.9610972343671411,297,1
Recurrence-Free Survival,Obs,103,0.9365079365079364,0.9033138325455531,0.9585659697689964,296,1
Recurrence-Free Survival,Obs,106,0.9333333333333333,0.8995812710293606,0.9560168882702429,295,1
Recurrence-Free Survival,Obs,108,0.9301587301587302,0.8958645783675814,0.9534511107662961,294,1
Recurrence-Free Survival,Obs,109,0.9269841269841269,0.8921628652043151,0.9508696381313748,293,1
Recurrence-Free Survival,Obs,113,0.9238095238095237,0.8884753261960183,0.9482733685641771,292,1
Recurrence-Free Survival,Obs,118,0.9206349206349206,0.8848012295229487,0.9456631118279044,291,1
Recurrence-Free Survival,Obs,121,0.9174603174603174,0.8811399079815755,0.9430396010394563,290,1
