endpoint,subgroup,subgroup_level,comparison,hazard_ratio,ci_lower,ci_upper,p_value_within_subgroup,n_total_two_arm,events_two_arm,n_obs,n_active,exploratory_flag
Recurrence-Free Survival,Age group,<50,Lev vs Obs,0.8151198213655889,0.5081311209480192,1.3075765206891128,0.3965529457870184,119,69,60,59,Exploratory – no interaction test
Recurrence-Free Survival,Age group,<50,Lev+5FU vs Obs,0.7574370748482195,0.47211362567087894,1.2151967051138959,0.24937088361807658,124,69,60,64,Exploratory – no interaction test
Recurrence-Free Survival,Age group,50–64,Lev vs Obs,1.0600331060847703,0.7662463310896135,1.4664607716918534,0.7247780254632051,268,146,136,132,Exploratory – no interaction test
Recurrence-Free Survival,Age group,50–64,Lev+5FU vs Obs,0.5899690757802292,0.40334404324428696,0.8629444669055686,0.00653334790609438,252,115,136,116,Exploratory – no interaction test
Recurrence-Free Survival,Age group,65+,Lev vs Obs,0.9875806228745195,0.7038258268983811,1.3857341538250212,0.9423527784732785,238,134,119,119,Exploratory – no interaction test
Recurrence-Free Survival,Age group,65+,Lev+5FU vs Obs,0.5113892742337314,0.34979546257844707,0.7476340255347161,0.0005381928925746355,243,112,119,124,Exploratory – no interaction test
Recurrence-Free Survival,Sex,Male,Lev vs Obs,0.9660379147264817,0.7289905585863049,1.2801664461867026,0.8099113287253482,343,194,166,177,Exploratory – no interaction test
Recurrence-Free Survival,Sex,Male,Lev+5FU vs Obs,0.4372034130801531,0.30652559152547076,0.623591731632142,4.9548722266521455e-06,307,141,166,141,Exploratory – no interaction test
Recurrence-Free Survival,Sex,Female,Lev vs Obs,1.0034398445587907,0.7321309649117622,1.3752888074738407,0.9829655235045778,282,155,149,133,Exploratory – no interaction test
Recurrence-Free Survival,Sex,Female,Lev+5FU vs Obs,0.7599148170493388,0.5544380442139424,1.041542035575575,0.08783267520834129,312,155,149,163,Exploratory – no interaction test
Recurrence-Free Survival,Positive lymph nodes,5+,Lev vs Obs,0.9826539420914846,0.688810592128935,1.401849479293703,0.9230987845681763,163,122,82,81,Exploratory – no interaction test
Recurrence-Free Survival,Positive lymph nodes,5+,Lev+5FU vs Obs,0.6652452459870328,0.44922168957213987,0.9851510903889229,0.04188313147680934,151,104,82,69,Exploratory – no interaction test
Recurrence-Free Survival,Positive lymph nodes,1–4,Lev vs Obs,0.9471049194114579,0.7261218955273498,1.2353404213516075,0.6884907810189596,451,218,229,222,Exploratory – no interaction test
Recurrence-Free Survival,Positive lymph nodes,1–4,Lev+5FU vs Obs,0.5577131048867571,0.414412788234697,0.750565417364175,0.0001163705838499471,455,184,229,226,Exploratory – no interaction test
Recurrence-Free Survival,Positive lymph nodes,Missing,Lev vs Obs,1.7019973487473907,0.31023403061578586,9.337450728384882,0.5403171679315146,9,7,3,6,Exploratory – no interaction test
Recurrence-Free Survival,Positive lymph nodes,Missing,Lev+5FU vs Obs,0.814166750576421,0.15620000262646208,4.243709901397086,0.8071812186848544,12,7,3,9,Exploratory – no interaction test
Recurrence-Free Survival,Tumour differentiation,Moderate,Lev vs Obs,1.0477832469395585,0.8156064144729686,1.3460533329383098,0.7149508947207299,448,245,229,219,Exploratory – no interaction test
Recurrence-Free Survival,Tumour differentiation,Moderate,Lev+5FU vs Obs,0.5986570594193755,0.4523495313664504,0.792286163555943,0.0003326254474341155,444,205,229,215,Exploratory – no interaction test
Recurrence-Free Survival,Tumour differentiation,Poor,Lev vs Obs,0.91438468494957,0.5496584202215085,1.5211253413226749,0.7303330426088641,96,60,52,44,Exploratory – no interaction test
Recurrence-Free Survival,Tumour differentiation,Poor,Lev+5FU vs Obs,0.7559177903788497,0.4563743980469635,1.2520678378466819,0.2770968686435107,106,61,52,54,Exploratory – no interaction test
Recurrence-Free Survival,Tumour differentiation,Well,Lev vs Obs,0.6963039854862674,0.35857225990517516,1.352138172462857,0.2850623694893324,64,35,27,37,Exploratory – no interaction test
Recurrence-Free Survival,Tumour differentiation,Well,Lev+5FU vs Obs,0.3732630075674518,0.16604411705807642,0.8390858723984086,0.017101824197275253,56,26,27,29,Exploratory – no interaction test
Recurrence-Free Survival,Tumour differentiation,Missing,Lev vs Obs,1.3862667501086021,0.344449022255666,5.579157954555796,0.6456970168500114,17,9,7,10,Exploratory – no interaction test
Recurrence-Free Survival,Tumour extent,Serosa,Lev vs Obs,0.9555867641226127,0.7608580137224057,1.2001530473456792,0.6959865837758383,508,296,249,259,Exploratory – no interaction test
Recurrence-Free Survival,Tumour extent,Serosa,Lev+5FU vs Obs,0.5948580980768824,0.46276643599679346,0.7646538930280106,5.024092617811512e-05,500,252,249,251,Exploratory – no interaction test
Recurrence-Free Survival,Tumour extent,Muscle,Lev vs Obs,0.9058013964791811,0.4309663758698228,1.903805530553657,0.7940459815873271,74,28,38,36,Exploratory – no interaction test
Recurrence-Free Survival,Tumour extent,Muscle,Lev+5FU vs Obs,0.41492556926723984,0.16084285557678393,1.0703815684841216,0.06886123588455485,70,21,38,32,Exploratory – no interaction test
Recurrence-Free Survival,Tumour extent,Contiguous structures,Lev vs Obs,1.0584967272558576,0.45685727401596204,2.4524405877626796,0.8944999180240784,32,23,20,12,Exploratory – no interaction test
Recurrence-Free Survival,Tumour extent,Contiguous structures,Lev+5FU vs Obs,0.6957964614134221,0.26651873731665054,1.8165053631491674,0.45881013637948787,31,20,20,11,Exploratory – no interaction test
Overall Survival,Age group,<50,Lev vs Obs,0.8721758965038096,0.5275423422214219,1.441952111822986,0.5939157095696503,119,61,60,59,Exploratory – no interaction test
Overall Survival,Age group,<50,Lev+5FU vs Obs,0.8711503580938412,0.5312767254503402,1.42845133252118,0.5845802038598122,124,63,60,64,Exploratory – no interaction test
Overall Survival,Age group,50–64,Lev vs Obs,0.8700032047069958,0.6159164731899899,1.2289094530630653,0.42937246243763827,268,130,136,132,Exploratory – no interaction test
Overall Survival,Age group,50–64,Lev+5FU vs Obs,0.605921383080827,0.4102676604496956,0.8948809712960516,0.011793762194692038,252,110,136,116,Exploratory – no interaction test
Overall Survival,Age group,65+,Lev vs Obs,1.136751975502711,0.8138607253168842,1.5877471582206937,0.45214283303763303,238,138,119,119,Exploratory – no interaction test
Overall Survival,Age group,65+,Lev+5FU vs Obs,0.6587101156780083,0.4577652509377667,0.9478635951673051,0.024552270894022,243,118,119,124,Exploratory – no interaction test
Overall Survival,Sex,Male,Lev vs Obs,1.0333810097691583,0.7765375846943888,1.3751765946677192,0.8218007156156979,343,189,166,177,Exploratory – no interaction test
Overall Survival,Sex,Male,Lev+5FU vs Obs,0.5188852526651253,0.3654853799573785,0.7366694270089515,0.00024329117345263002,307,139,166,141,Exploratory – no interaction test
Overall Survival,Sex,Female,Lev vs Obs,0.8797638164594686,0.6305767433033418,1.2274229599663506,0.4508789945700855,282,140,149,133,Exploratory – no interaction test
Overall Survival,Sex,Female,Lev+5FU vs Obs,0.8629156135967396,0.6278115250640761,1.1860619413016342,0.36360357025486767,312,152,149,163,Exploratory – no interaction test
Overall Survival,Positive lymph nodes,5+,Lev vs Obs,0.9426156578685445,0.6616032374182634,1.342986594089513,0.7435100717699374,163,123,82,81,Exploratory – no interaction test
Overall Survival,Positive lymph nodes,5+,Lev+5FU vs Obs,0.6718256122838073,0.4556887096502137,0.9904780253760692,0.04461060933408817,151,107,82,69,Exploratory – no interaction test
Overall Survival,Positive lymph nodes,1–4,Lev vs Obs,0.9476787320952671,0.7170521738411734,1.2524820536484707,0.7056486381626299,451,198,229,222,Exploratory – no interaction test
Overall Survival,Positive lymph nodes,1–4,Lev+5FU vs Obs,0.6807682586396543,0.5049242933266156,0.9178513058223614,0.011660336521584325,455,177,229,226,Exploratory – no interaction test
Overall Survival,Positive lymph nodes,Missing,Lev vs Obs,2.765402782626,0.3163722906446473,24.17232095318146,0.3577885341931023,9,6,3,6,Exploratory – no interaction test
Overall Survival,Positive lymph nodes,Missing,Lev+5FU vs Obs,1.6413104387843456,0.19106307110613271,14.099532373611009,0.6515779050195618,12,6,3,9,Exploratory – no interaction test
Overall Survival,Tumour differentiation,Moderate,Lev vs Obs,1.0108101049696534,0.7776552214511446,1.3138689744822234,0.9359455588352492,448,224,229,219,Exploratory – no interaction test
Overall Survival,Tumour differentiation,Moderate,Lev+5FU vs Obs,0.7465308477556589,0.5649765315545078,0.9864273567565257,0.03977079131969233,444,202,229,215,Exploratory – no interaction test
Overall Survival,Tumour differentiation,Poor,Lev vs Obs,0.9690133614411236,0.5842509990662267,1.6071635241568298,0.9029474494651918,96,61,52,44,Exploratory – no interaction test
