comparison,variable,smd
Lev vs Obs,age,0.05579269400609213
Lev vs Obs,nodes,-0.025004088148402055
Lev vs Obs,sex,0.0884787498941674
Lev vs Obs,obstruct,0.008040367495002792
Lev vs Obs,perfor,0.021469413114240547
Lev vs Obs,adhere,0.02456700367681707
Lev vs Obs,surg,-0.06919410052223159
Lev vs Obs,node4,0.024248749139045154
Lev+5FU vs Obs,age,0.02036207104849828
Lev+5FU vs Obs,nodes,-0.082145850000868
Lev+5FU vs Obs,sex,-0.12659486778835488
Lev+5FU vs Obs,obstruct,-0.0571786428469683
Lev+5FU vs Obs,perfor,-0.013807083608346461
Lev+5FU vs Obs,adhere,-0.06053649785803327
Lev+5FU vs Obs,surg,-0.08773679764043991
Lev+5FU vs Obs,node4,-0.03685619603763584
